id,outstanding,data
AL,0.388888889,62.22222222
B,0.306569343,49.05109489
BA,0.137931034,22.06896552
BB,0.142857143,22.85714286
BD,0.166666667,26.66666667
BH,0.193548387,30.96774194
BL,0.16,25.6
BN,0.0625,10
BR,0.333333333,53.33333333
BS,0.215686275,34.50980392
CA,0.136363636,21.81818182
CB,0.35,56
CH,0.1875,30
CM,0.243243243,38.91891892
CO,0.166666667,26.66666667
CR,0.19047619,30.47619048
CT,0.242424242,38.78787879
CV,0.304347826,48.69565217
CW,0.25,40
DA,0.15625,25
DE,0.175,28
DH,0.294117647,47.05882353
DL,0.192307692,30.76923077
DN,0.136363636,21.81818182
DT,0.285714286,45.71428571
DY,0.192307692,30.76923077
E,0.285714286,45.71428571
EC,0,0
EN,0.16,25.6
EX,0.153846154,24.61538462
FY,0.071428571,11.42857143
GL,0.25,40
GU,0.314285714,50.28571429
HA,0.625,100
HD,0.176470588,28.23529412
HG,0.555555556,88.88888889
HP,0.303030303,48.48484848
HR,0.133333333,21.33333333
HU,0.142857143,22.85714286
HX,0.3,48
IG,0.476190476,76.19047619
IP,0.136363636,21.81818182
KT,0.434782609,69.56521739
L,0.150943396,24.1509434
LA,0.217391304,34.7826087
LE,0.194444444,31.11111111
LN,0.304347826,48.69565217
LS,0.111111111,17.77777778
LU,0.137931034,22.06896552
M,0.185714286,29.71428571
ME,0.289473684,46.31578947
MK,0.166666667,26.66666667
N,0.357142857,57.14285714
NE,0.2,32
NG,0.19047619,30.47619048
NN,0.225806452,36.12903226
NP,0,0
NR,0.175,28
NW,0.25,40
OL,0.115384615,18.46153846
OX,0.129032258,20.64516129
PE,0.14,22.4
PL,0.172413793,27.5862069
PO,0.075,12
PR,0.305555556,48.88888889
RG,0.177777778,28.44444444
RH,0.24,38.4
RM,0.212121212,33.93939394
S,0.14516129,23.22580645
SE,0.346938776,55.51020408
SG,0.142857143,22.85714286
SK,0.125,20
SL,0.344827586,55.17241379
SM,0.357142857,57.14285714
SN,0.16,25.6
SO,0.117647059,18.82352941
SP,0.125,20
SR,0.166666667,26.66666667
SS,0.258064516,41.29032258
ST,0.037735849,6.037735849
SW,0.441176471,70.58823529
SY,0.2,32
TA,0.15,24
TD,0,0
TF,0.176470588,28.23529412
TN,0.305555556,48.88888889
TQ,0.25,40
TR,0.166666667,26.66666667
TS,0.117647059,18.82352941
TW,0.37037037,59.25925926
UB,0.19047619,30.47619048
W,0.5,80
WA,0.27027027,43.24324324
WD,0.4,64
WF,0.2,32
WN,0.111111111,17.77777778
WR,0.166666667,26.66666667
WS,0.166666667,26.66666667
WV,0.107142857,17.14285714
YO,0.121212121,19.39393939
